6153	8959	5323	7316	 954	6871	 740	2863	7576	6136	2905	 878	6466	4920	7762	2414	 439	5573	7706	 541	6038	7189	3637	9026	4218	4056	4902	 512	7981	9405	 829

7713	3606	6553	1122	9732	6637	4545	9432	9096	5231	9245	5481	1974	3217	5402	4510	5836	1156	9567	6617	 151	 674	5902	6419	4617	9201	5432	8490	4886	7663	1465

2587	3560	5162	1342	1612	3132	2349	2285	9238	6676	 402	4487	6853	2611	4443	5403	6134	 635	2080	 904	8386	6739	3136	8691	2231	3179	5003	5318	7981	7969	1464

1766	1568	1435	7821	9639	4082	4997	 760	9316	7373	6426	1179	5032	6464	4765	4344	2244	7196	9407	4714	5373	6162	9680	 327	1260	3243	8384	7159	 477	3562	2321

7411	5198	2492	5756	9346	1684	7891	1020	7409	9942	4406	5997	8919	5604	2023	6348	8659	   5	8218	 566	2692	5786	1934	 683	4440	9021	6080	2267	7953	6007	1887

7550	2567	9958	5942	6916	4062	8681	5360	5357	6501	 528	 336	9349	3302	2023	 713	1424	1281	3799	1545	 226	5905	6633	2714	2667	5812	7561	1160	 516	9171	6809

 558	8638	1602	5805	3410	8447	7648	7468	6133	 432	8297	9300	 799	8005	5799	 313	9076	7512	6851	6839	1421	8878	1833	8454	2815	6029	9453	3301	 969	4125	5102

4452	2750	2474	9890	4746	5361	3364	7384	9433	6797	7788	9232	7088	2406	2028	9278	1234	3606	2783	 668	4367	5940	9454	9273	4098	5406	1916	1441	2091	1532	9643

6956	4659	6912	1795	 894	2808	6537	3320	2165	3977	4030	5676	2121	1315	 935	7173	8977	2574	5975	5676	3148	6542	2876	7487	2125	7065	3440	2285	8359	8493	3323

1548	 252	2944	 414	1016	6917	9104	8639	5941	8226	9835	4922	5928	1452	5284	2473	5658	9311	8556	6793	 481	5222	9061	4671	8062	 663	2367	1669	9760	4441	5302

5153	 465	2552	6343	4195	  75	4555	9913	7154	2014	1612	8850	5962	 854	7924	8755	2016	9895	5104	7591	4225	3351	 579	9762	2999	2081	2322	5969	5072	 699	1683

5139	7566	9839	3006	 648	1050	 134	8029	5465	3961	6145	9313	 682	1735	4809	1197	5677	2395	6477	6492	4103	 797	6790	1679	1335	6912	 314	8786	1492	7539	9944

6064	7009	3192	1050	4625	4659	3282	3564	9714	2531	5816	9159	1417	6846	6244	7492	4899	9415	7501	9047	4999	8139	5456	6022	1168	2124	7795	1139	4666	 689	1069

3517	4535	5944	8272	6728	4583	9488	9092	3451	4737	6947	2986	6182	9034	4161	1114	2464	6404	9319	9753	8275	6768	6394	9062	7875	4845	7999	8925	5218	6154	1082

7233	 703	1420	2293	7616	4292	 916	3939	5118	1997	 789	5377	9615	 768	 690	4245	3246	 586	7816	7243	6995	7523	6724	8496	7967	4954	7282	 733	 938	6501	 760

7236	7958	 182	3336	7918	1530	 722	8781	1043	8133	5701	9706	7281	5584	1226	5519	9483	5744	9041	9935	7704	7922	7522	7400	7437	5605	6859	8222	7455	7037	 950

9354	8573	6196	9293	8783	5653	3861	7778	6965	9697	2367	8676	7643	6802	7266	 724	2170	4059	3239	3457	4405	6410	7884	 464	6827	2698	4566	1004	3858	9178	5500

8385	9359	 564	6545	6460	7608	1821	 627	8494	8777	5882	1414	5822	8719	8172	8907	 886	8698	1784	4403	9274	2618	5621	1475	5598	5117	 811	2710	4748	7729	1918

6372	8791	4103	5602	8694	9903	5039	4719	4505	6922	4991	2961	5415	7851	9674	5410	 694	  34	4947	8725	2550	1317	7693	 638	2725	5997	1697	3189	1074	1701	9404

7675	9741	8569	3858	1218	 351	7326	4507	 712	4499	9334	5568	6077	9669	8522	9590	2965	8643	8675	9468	3197	5922	9056	4826	7837	2900	7126	5408	 750	3517	3641

3094	4638	6175	5002	4652	8328	3338
